Id,OrgId,IncidentId,AlertId,Timestamp,DetectorId,AlertTitle,Category,MitreTechniques,IncidentGrade,ActionGrouped,ActionGranular,EntityType,EvidenceRole,DeviceId,Sha256,IpAddress,Url,AccountSid,AccountUpn,AccountObjectId,AccountName,DeviceName,NetworkMessageId,EmailClusterId,RegistryKey,RegistryValueName,RegistryValueData,ApplicationId,ApplicationName,OAuthApplicationId,ThreatFamily,FileName,FolderPath,ResourceIdName,ResourceType,Roles,OSFamily,OSVersion,AntispamDirection,SuspicionLevel,LastVerdict,CountryCode,State,City,Usage
764504183844,46,2165,464218,2024-06-06T17:32:50.000Z,217,194,Execution,,TruePositive,,,Machine,Impacted,98799,138268,360606,160396,441377,673934,425863,453297,1218,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
335007450291,358,81220,23843,2024-06-08T19:59:54.000Z,1,1,InitialAccess,T1566.002,FalsePositive,,,Mailbox,Impacted,98799,138268,360606,160396,14770,12992,14567,15649,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
1468878815912,171,337929,433815,2024-06-13T21:39:26.000Z,862,7604,Exfiltration,,BenignPositive,,,Machine,Impacted,98799,138268,360606,160396,441377,673934,425863,453297,8333,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Private
704374638571,158,278841,1448996,2024-06-05T15:45:39.000Z,3745,22159,Exfiltration,,FalsePositive,,,CloudApplication,Impacted,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,3,3,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
523986014933,295,1723,226867,2024-06-08T23:20:44.000Z,1,1,InitialAccess,T1566.002,FalsePositive,,,MailCluster,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,4192202772.0,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,Malicious,242,1445,10630,Private
68719477302,576,10398,49989,2024-06-11T03:53:30.000Z,1,1,InitialAccess,T1566.002,BenignPositive,,,Url,Related,98799,138268,360606,6941,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,NoThreatsFound,242,1445,10630,Public
523986015201,83,11016,20651,2024-06-08T10:50:48.000Z,60,9625,Exfiltration,,BenignPositive,,,MailMessage,Impacted,98799,138268,360606,160396,441377,243297,425863,453297,153085,1329,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
240518171367,29,111776,218395,2024-06-09T20:09:25.000Z,1,1,InitialAccess,T1566.002,BenignPositive,,,Mailbox,Impacted,98799,138268,360606,160396,4645,3020,4647,4944,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,NoThreatsFound,242,1445,10630,Public
575525621016,62,481032,1385423,2024-06-08T09:33:37.000Z,5,39,SuspiciousActivity,,TruePositive,,,CloudApplication,Impacted,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,8,8,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
257698038250,111,8,28598,2024-06-08T10:33:32.000Z,43,28,Malware,T1027;T1027.002;T1027.005;T1105;T1204.002,BenignPositive,,,Process,Related,98799,160,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,53,242,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630,Public
850403527824,110,144,1021186,2024-06-05T01:03:18.000Z,4,3,InitialAccess,,TruePositive,,,Ip,Related,98799,138268,81906,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,11,53,50,Private
1649267445994,36,525667,1518784,2024-06-06T12:19:34.000Z,25,17,InitialAccess,,BenignPositive,,,User,Impacted,98799,138268,360606,160396,52905,180687,51973,30416,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
1417339210805,376,149521,881727,2024-06-09T16:15:29.000Z,0,0,InitialAccess,T1078;T1078.004,FalsePositive,,,CloudLogonRequest,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
395136995666,929,1826,42252,2024-06-11T15:41:31.000Z,1,1,InitialAccess,T1566.002,TruePositive,,,Url,Related,98799,138268,360606,25053,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,NoThreatsFound,242,1445,10630,Public
979252544574,47,6651,3326,2024-06-09T11:40:00.000Z,57,29,CommandAndControl,T1046;T1071;T1210,FalsePositive,,,Url,Related,98799,138268,360606,2496,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
1168231109577,988,1684,1061205,2024-06-08T02:25:08.000Z,4,3,InitialAccess,,FalsePositive,,,CloudLogonRequest,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
1400159340213,26,19533,1436982,2024-06-10T03:04:49.000Z,415,441,DefenseEvasion,T1036.004;T1053.005,BenignPositive,,,Process,Related,98799,76,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,14,3,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630,Private
68719479929,76,728,333641,2024-06-10T14:38:36.000Z,0,0,InitialAccess,T1078;T1078.004,TruePositive,,,Ip,Related,98799,138268,88147,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,0,1,5,Public
249108104895,220,89240,1129551,2024-06-10T22:11:15.000Z,178,34279,Exfiltration,,FalsePositive,,,File,Impacted,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,52509,30096,3586,,,5,66,,,,242,1445,10630,Private
987842479738,7,4155,994,2024-05-31T21:26:06.000Z,21,1138,Impact,,FalsePositive,,,Ip,Related,98799,138268,652,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
1030792155622,715,237792,404651,2024-06-05T07:29:52.000Z,0,0,InitialAccess,T1078;T1078.004,TruePositive,,,CloudLogonSession,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,242,1445,10630,Public
867583396640,29,52226,116680,2024-06-12T01:50:04.000Z,28,19,InitialAccess,T1566,BenignPositive,,,MailCluster,Related,98799,138268,360606,160396,441377,673934,425863,453297,153085,529644,1962111205.0,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,Malicious,242,1445,10630,Public
1580547968500,3,4827,287501,2024-06-04T15:50:47.000Z,2,2,CommandAndControl,,BenignPositive,,,Process,Related,98799,12,360606,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,10,13,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630,Public
395136993138,1073,88352,116523,2024-06-08T06:02:24.000Z,13,11,InitialAccess,T1566,TruePositive,,,MailMessage,Related,98799,138268,360606,160396,441377,32216,425863,453297,153085,54687,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,Inbound,,NoThreatsFound,242,1445,10630,Public
936302873927,59,25756,204349,2024-06-14T19:10:27.000Z,3,4,SuspiciousActivity,,BenignPositive,,,User,Impacted,98799,138268,360606,160396,71202,110854,78099,77954,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,Suspicious,Suspicious,242,1445,10630,Public
1245540517661,0,86,1167931,2024-06-06T23:09:34.000Z,0,0,InitialAccess,T1078;T1078.004,TruePositive,,,Ip,Related,98799,138268,445,160396,441377,673934,425863,453297,153085,529644,,1631,635,860,2251,3421,881,,289573,117668,3586,,,5,66,,,,1,0,0,Private
